name,price,type,efficiency,wattage,modular,color,brand,slug
Toughpower GF A3 Snow,129.99,ATX,gold,850,Full,White,Thermaltake,thermaltake-toughpower-gf-a3-snow-850-gold
HX1500i (2025),348.99,ATX,platinum,1500,Full,Black,Corsair,corsair-hx1500i-2025-1500-platinum
C1000 (2024),164.99,ATX,gold,1000,Full,Black,NZXT,nzxt-c1000-2024-1000-gold
Focus GX V4 ATX 3 (2024),186.98,ATX,gold,1000,Full,Black,SeaSonic,seasonic-focus-gx-v4-atx-3-2024-1000-gold
50315153277247,89.99,ATX,gold,850,Full,White,Vetroo,vetroo-50315153277247-850-gold
C1200 (2024),199.99,ATX,gold,1200,Full,Black,NZXT,nzxt-c1200-2024-1200-gold
Smart BM3,69.98,ATX,bronze,650,Semi,Black,Thermaltake,thermaltake-smart-bm3-650-bronze
quiet! Power Zone 2,163.41,ATX,platinum,850,Full,Black,be,be-quiet-power-zone-2-850-platinum
quiet! Pure Power 12 M,94.9,ATX,gold,650,Full,Black,be,be-quiet-pure-power-12-m-650-gold
quiet! Pure Power 11,136.76,ATX,gold,400,Non-modular,Black,be,be-quiet-pure-power-11-400-gold
Li SP850,138.99,SFX,gold,850,Full,Black,Lian,lian-li-sp850-850-gold
Challenger CL-750G,69.99,ATX,gold,750,Non-modular,Black,ASRock,asrock-challenger-cl-750g-750-gold
ROG Strix,229.99,ATX,platinum,1000,Full,Black,Asus,asus-rog-strix-1000-platinum
PRIME TX-1600 ATX 3.1,550.99,ATX,titanium,1600,Full,Black / Silver,SeaSonic,seasonic-prime-tx-1600-atx-3-1-1600-titanium
MEG Ai1300P PCIE5,386.99,ATX,platinum,1300,Full,Black / Copper,MSI,msi-meg-ai1300p-pcie5-1300-platinum
SuperNOVA 1000 P5,175.41,ATX,platinum,1000,Full,Blue / Black,EVGA,evga-supernova-1000-p5-1000-platinum
quiet! Straight Power 12,199.9,ATX,platinum,1000,Full,Black,be,be-quiet-straight-power-12-1000-platinum
APX,49.8,ATX,plus,650,Non-modular,Black,Montech,montech-apx-650-plus
Prestige,66.98,ATX,gold,800,Non-modular,Black,Apevia,apevia-prestige-800-gold
750 N1,69.98,ATX,,750,Non-modular,,EVGA,evga-750-n1-750-nan
HX1000i (2023),259.99,ATX,platinum,1000,Full,Black,Corsair,corsair-hx1000i-2023-1000-platinum
RM1200x SHIFT,229.99,ATX,gold,1200,Full,Black,Corsair,corsair-rm1200x-shift-1200-gold
Master MWE Gold 750 V3,99.99,ATX,gold,750,Full,Black,Cooler,cooler-master-mwe-gold-750-v3-750-gold
