name,price,capacity,price_per_gb,type,cache,form_factor,interface,brand,model,slug
Western Digital Green SN350,55.56,1000.0,0.056,SSD,,M.2-2280,PCIe Gen4,Western,Digital Green SN350,western-digital-green-sn350-1000-0-pcie-gen4
Klevv CRAS C910,199.99,4000.0,0.05,SSD,,M.2-2280,PCIe Gen4,Klevv,CRAS C910,klevv-cras-c910-4000-0-pcie-gen4
Kingston KC3000,99.99,1024.0,0.098,SSD,,M.2-2280,PCIe Gen4,Kingston,KC3000,kingston-kc3000-1024-0-pcie-gen4
TEAMGROUP MP33 PRO,54.99,1000.0,0.055,SSD,,M.2-2280,PCIe Gen4,TEAMGROUP,MP33 PRO,teamgroup-mp33-pro-1000-0-pcie-gen4
SK Hynix Platinum P41,79.98,1000.0,0.08,SSD,,M.2-2280,PCIe Gen4,SK,Hynix Platinum P41,sk-hynix-platinum-p41-1000-0-pcie-gen4
Seagate IronWolf NAS,170.59,8000.0,0.021,7200,256.0,3.5,SATA,Seagate,IronWolf NAS,seagate-ironwolf-nas-8000-0-sata
Lexar NM790,230.0,4000.0,0.058,SSD,,M.2-2280,PCIe Gen4,Lexar,NM790,lexar-nm790-4000-0-pcie-gen4
Corsair MP700 Elite,198.99,2000.0,0.099,SSD,,M.2-2280,PCIe Gen5,Corsair,MP700 Elite,corsair-mp700-elite-2000-0-pcie-gen5
Samsung 980,69.99,500.0,0.14,SSD,,M.2-2280,PCIe Gen4,Samsung,980,samsung-980-500-0-pcie-gen4
Patriot P400 Lite,54.99,1000.0,0.055,SSD,,M.2-2280,PCIe Gen4,Patriot,P400 Lite,patriot-p400-lite-1000-0-pcie-gen4
Western Digital Gold,499.99,24000.0,0.021,7200,512.0,3.5,SATA,Western,Digital Gold,western-digital-gold-24000-0-sata
Samsung 970 Evo,146.13,1000.0,0.146,SSD,1024.0,M.2-2280,PCIe Gen4,Samsung,970 Evo,samsung-970-evo-1000-0-pcie-gen4
Silicon Power UD90,212.99,4000.0,0.053,SSD,,M.2-2280,PCIe Gen4,Silicon,Power UD90,silicon-power-ud90-4000-0-pcie-gen4
TEAMGROUP T-Force Vulcan Z,47.99,1000.0,0.048,SSD,,2.5,SATA,TEAMGROUP,T-Force Vulcan Z,teamgroup-t-force-vulcan-z-1000-0-sata
Seagate Exos X24,479.99,24000.0,0.02,7200,512.0,3.5,SATA,Seagate,Exos X24,seagate-exos-x24-24000-0-sata
Kingston A400,36.99,480.0,0.077,SSD,,2.5,SATA,Kingston,A400,kingston-a400-480-0-sata
Samsung 860 Evo,142.13,1000.0,0.142,SSD,1024.0,2.5,SATA,Samsung,860 Evo,samsung-860-evo-1000-0-sata
Kingston Fury Renegade,117.85,1000.0,0.118,SSD,,M.2-2280,PCIe Gen4,Kingston,Fury Renegade,kingston-fury-renegade-1000-0-pcie-gen4
Western Digital WD Red Pro,479.99,26000.0,0.018,7200,512.0,3.5,SATA,Western,Digital WD Red Pro,western-digital-wd-red-pro-26000-0-sata
Sabrent Rocket 5,729.99,4000.0,0.182,SSD,,M.2-2280,PCIe Gen5,Sabrent,Rocket 5,sabrent-rocket-5-4000-0-pcie-gen5
PNY CS1030,29.99,500.0,0.06,SSD,,M.2-2280,PCIe Gen4,PNY,CS1030,pny-cs1030-500-0-pcie-gen4
Crucial T705,142.99,1000.0,0.143,SSD,,M.2-2280,PCIe Gen5,Crucial,T705,crucial-t705-1000-0-pcie-gen5
Lexar NM620,57.99,1000.0,0.058,SSD,,M.2-2280,PCIe Gen4,Lexar,NM620,lexar-nm620-1000-0-pcie-gen4
Crucial BX500,108.99,2000.0,0.054,SSD,,2.5,SATA,Crucial,BX500,crucial-bx500-2000-0-sata
Western Digital WD Blue SN5000,113.99,2000.0,0.057,SSD,,M.2-2280,PCIe Gen4,Western,Digital WD Blue SN5000,western-digital-wd-blue-sn5000-2000-0-pcie-gen4
Silicon Power A55,45.99,1000.0,0.046,SSD,,2.5,SATA,Silicon,Power A55,silicon-power-a55-1000-0-sata
Seagate IronWolf NAS,99.99,4000.0,0.025,5400,256.0,3.5,SATA,Seagate,IronWolf NAS,seagate-ironwolf-nas-4000-0-sata
Patriot P300,54.99,1000.0,0.055,SSD,,M.2-2280,PCIe Gen4,Patriot,P300,patriot-p300-1000-0-pcie-gen4
Seagate BarraCuda,38.22,1000.0,0.038,7200,64.0,3.5,SATA,Seagate,BarraCuda,seagate-barracuda-1000-0-sata
Western Digital Black SN770,56.99,500.0,0.114,SSD,,M.2-2280,PCIe Gen4,Western,Digital Black SN770,western-digital-black-sn770-500-0-pcie-gen4
MSI SPATIUM M480 PRO,109.67,1000.0,0.11,SSD,1024.0,M.2-2280,PCIe Gen4,MSI,SPATIUM M480 PRO,msi-spatium-m480-pro-1000-0-pcie-gen4
Patriot P300,14.99,128.0,0.117,SSD,,M.2-2280,PCIe Gen4,Patriot,P300,patriot-p300-128-0-pcie-gen4
TEAMGROUP MP33,103.99,2000.0,0.052,SSD,,M.2-2280,PCIe Gen4,TEAMGROUP,MP33,teamgroup-mp33-2000-0-pcie-gen4
KIOXIA EXCERIA PLUS G3,83.78,1000.0,0.084,SSD,,M.2-2280,PCIe Gen4,KIOXIA,EXCERIA PLUS G3,kioxia-exceria-plus-g3-1000-0-pcie-gen4
Silicon Power P34A60,36.97,512.0,0.072,SSD,,M.2-2280,PCIe Gen4,Silicon,Power P34A60,silicon-power-p34a60-512-0-pcie-gen4
Crucial T700,379.99,4000.0,0.095,SSD,,M.2-2280,PCIe Gen5,Crucial,T700,crucial-t700-4000-0-pcie-gen5
Silicon Power A60,95.97,2000.0,0.048,SSD,,M.2-2280,PCIe Gen4,Silicon,Power A60,silicon-power-a60-2000-0-pcie-gen4
Seagate BarraCuda,67.0,2000.0,0.034,7200,64.0,3.5,SATA,Seagate,BarraCuda,seagate-barracuda-2000-0-sata
Samsung 990 Pro w/Heatsink,109.99,1000.0,0.11,SSD,1024.0,M.2-2280,PCIe Gen4,Samsung,990 Pro w/Heatsink,samsung-990-pro-w-heatsink-1000-0-pcie-gen4
Kingston A400,57.99,960.0,0.06,SSD,,2.5,SATA,Kingston,A400,kingston-a400-960-0-sata
Samsung 970 Evo Plus,69.79,250.0,0.279,SSD,512.0,M.2-2280,PCIe Gen4,Samsung,970 Evo Plus,samsung-970-evo-plus-250-0-pcie-gen4
Western Digital Blue SN580,44.99,500.0,0.09,SSD,,M.2-2280,PCIe Gen4,Western,Digital Blue SN580,western-digital-blue-sn580-500-0-pcie-gen4
Corsair MP600 PRO XT,909.99,8000.0,0.114,SSD,,M.2-2280,PCIe Gen4,Corsair,MP600 PRO XT,corsair-mp600-pro-xt-8000-0-pcie-gen4
Crucial P5 Plus,159.99,1000.0,0.16,SSD,1024.0,M.2-2280,PCIe Gen4,Crucial,P5 Plus,crucial-p5-plus-1000-0-pcie-gen4
Patriot P400 Lite,104.99,2000.0,0.052,SSD,,M.2-2280,PCIe Gen4,Patriot,P400 Lite,patriot-p400-lite-2000-0-pcie-gen4
Western Digital Red Plus,99.99,4000.0,0.025,5400,256.0,3.5,SATA,Western,Digital Red Plus,western-digital-red-plus-4000-0-sata
Crucial MX500,149.99,1000.0,0.15,SSD,1024.0,2.5,SATA,Crucial,MX500,crucial-mx500-1000-0-sata
Corsair MP700 PRO,219.99,2000.0,0.11,SSD,,M.2-2280,PCIe Gen5,Corsair,MP700 PRO,corsair-mp700-pro-2000-0-pcie-gen5
Crucial T700,219.99,2000.0,0.11,SSD,,M.2-2280,PCIe Gen5,Crucial,T700,crucial-t700-2000-0-pcie-gen5
MSI SPATIUM M482,109.99,2000.0,0.055,SSD,,M.2-2280,PCIe Gen4,MSI,SPATIUM M482,msi-spatium-m482-2000-0-pcie-gen4
PNY CS1030,91.99,2000.0,0.046,SSD,,M.2-2280,PCIe Gen4,PNY,CS1030,pny-cs1030-2000-0-pcie-gen4
Western Digital WD_BLACK SN8100,169.99,1000.0,0.17,SSD,1024.0,M.2-2280,PCIe Gen5,Western,Digital WD_BLACK SN8100,western-digital-wd-black-sn8100-1000-0-pcie-gen5
TEAMGROUP T-FORCE G70 PRO Graphene,122.99,2000.0,0.061,SSD,,M.2-2280,PCIe Gen4,TEAMGROUP,T-FORCE G70 PRO Graphene,teamgroup-t-force-g70-pro-graphene-2000-0-pcie-gen4
PNY CS2150,169.99,2000.0,0.085,SSD,,M.2-2280,PCIe Gen5,PNY,CS2150,pny-cs2150-2000-0-pcie-gen5
KIOXIA EXCERIA PLUS G3,146.31,2000.0,0.073,SSD,,M.2-2280,PCIe Gen4,KIOXIA,EXCERIA PLUS G3,kioxia-exceria-plus-g3-2000-0-pcie-gen4
Western Digital Red Plus,179.99,10000.0,0.018,7200,256.0,3.5,SATA,Western,Digital Red Plus,western-digital-red-plus-10000-0-sata
Seagate Exos X24 SED,571.59,24000.0,0.024,7200,512.0,3.5,SATA,Seagate,Exos X24 SED,seagate-exos-x24-sed-24000-0-sata
Gigabyte AORUS Gen4 7300,91.99,1000.0,0.092,SSD,1024.0,M.2-2280,PCIe Gen4,Gigabyte,AORUS Gen4 7300,gigabyte-aorus-gen4-7300-1000-0-pcie-gen4
Seagate Barracuda Compute,124.99,8000.0,0.016,5400,256.0,3.5,SATA,Seagate,Barracuda Compute,seagate-barracuda-compute-8000-0-sata
TEAMGROUP QX,182.99,4000.0,0.046,SSD,,2.5,SATA,TEAMGROUP,QX,teamgroup-qx-4000-0-sata
Samsung 860 Evo,109.0,500.0,0.218,SSD,512.0,2.5,SATA,Samsung,860 Evo,samsung-860-evo-500-0-sata
Acer Predator GM7000,77.98,1000.0,0.078,SSD,1024.0,M.2-2280,PCIe Gen4,Acer,Predator GM7000,acer-predator-gm7000-1000-0-pcie-gen4
Seagate Surveillance HDD,99.0,2000.0,0.05,5400,64.0,3.5,SATA,Seagate,Surveillance HDD,seagate-surveillance-hdd-2000-0-sata
Crucial P3,44.06,500.0,0.088,SSD,,M.2-2280,PCIe Gen4,Crucial,P3,crucial-p3-500-0-pcie-gen4
Seagate IronWolf Pro,150.0,4000.0,0.037,7200,256.0,3.5,SATA,Seagate,IronWolf Pro,seagate-ironwolf-pro-4000-0-sata
Silicon Power A55,84.99,2000.0,0.042,SSD,,2.5,SATA,Silicon,Power A55,silicon-power-a55-2000-0-sata
Kingston NV2,118.77,2000.0,0.059,SSD,,M.2-2280,PCIe Gen4,Kingston,NV2,kingston-nv2-2000-0-pcie-gen4
PNY CS2150,89.99,1000.0,0.09,SSD,,M.2-2280,PCIe Gen5,PNY,CS2150,pny-cs2150-1000-0-pcie-gen5
Corsair MP700 Elite,134.99,1000.0,0.135,SSD,,M.2-2280,PCIe Gen5,Corsair,MP700 Elite,corsair-mp700-elite-1000-0-pcie-gen5
FanXiang S880,59.99,1000.0,0.06,SSD,,M.2-2280,PCIe Gen4,FanXiang,S880,fanxiang-s880-1000-0-pcie-gen4
Mushkin Gamma,1068.14,8000.0,0.134,SSD,,M.2-2280,PCIe Gen4,Mushkin,Gamma,mushkin-gamma-8000-0-pcie-gen4
Intel D3-S4610,1485.0,7680.0,0.193,SSD,,2.5,SATA,Intel,D3-S4610,intel-d3-s4610-7680-0-sata
Crucial BX500,228.99,4000.0,0.057,SSD,,2.5,SATA,Crucial,BX500,crucial-bx500-4000-0-sata
Seagate IronWolf Pro NAS,249.99,12000.0,0.021,7200,256.0,3.5,SATA,Seagate,IronWolf Pro NAS,seagate-ironwolf-pro-nas-12000-0-sata
Kingston NV3,238.98,4000.0,0.06,SSD,,M.2-2280,PCIe Gen4,Kingston,NV3,kingston-nv3-4000-0-pcie-gen4
Patriot P210,29.79,512.0,0.058,SSD,,2.5,SATA,Patriot,P210,patriot-p210-512-0-sata
Samsung 9100 PRO w/Heatsink,249.99,2000.0,0.125,SSD,2048.0,M.2-2280,PCIe Gen5,Samsung,9100 PRO w/Heatsink,samsung-9100-pro-w-heatsink-2000-0-pcie-gen5
Kingston FURY Renegade G5,458.46,4096.0,0.112,SSD,,M.2-2280,PCIe Gen5,Kingston,FURY Renegade G5,kingston-fury-renegade-g5-4096-0-pcie-gen5
Toshiba HDKBB96,29.95,1000.0,0.03,5400,8.0,2.5,SATA,Toshiba,HDKBB96,toshiba-hdkbb96-1000-0-sata
PNY CS900,49.99,1000.0,0.05,SSD,,2.5,SATA,PNY,CS900,pny-cs900-1000-0-sata
Kingston Fury Renegade,309.95,4000.0,0.077,SSD,,M.2-2280,PCIe Gen4,Kingston,Fury Renegade,kingston-fury-renegade-4000-0-pcie-gen4
Western Digital Blue,141.47,1000.0,0.141,SSD,,2.5,SATA,Western,Digital Blue,western-digital-blue-1000-0-sata
Crucial T705 W/Heatsink,369.99,4000.0,0.092,SSD,,M.2-2280,PCIe Gen5,Crucial,T705 W/Heatsink,crucial-t705-w-heatsink-4000-0-pcie-gen5
Western Digital Red Plus,158.85,8000.0,0.02,5640,256.0,3.5,SATA,Western,Digital Red Plus,western-digital-red-plus-8000-0-sata
