name,price,amount,slug
Thermal Hero ULTRA,19.89,10.0,thermal-hero-ultra
Thermal Hero QUANTUM,16.89,2.0,thermal-hero-quantum
Thermal Hero METALLIQ,34.9,5.0,thermal-hero-metalliq
Masscool Stars-700,5.99,0.5,masscool-stars-700
Thermal Hero NEO,14.49,4.0,thermal-hero-neo
Cooler Master ThermalFusion 400,,4.0,cooler-master-thermalfusion-400
Gelid Solutions GC-Supreme,,7.0,gelid-solutions-gc-supreme
TUNIQ TX-2,,3.5,tuniq-tx-2
Zalman ZM-STG2,,3.5,zalman-zm-stg2
Innovation Cooling ICD24,,4.8,innovation-cooling-icd24
Graphitene GTP-5,,3.5,graphitene-gtp-5
NOX Thermal 880,,23.0,nox-thermal-880
Akasa AK-TCW-03,16.43,5.0,akasa-ak-tcw-03
ARCTIC MX-5,,2.0,arctic-mx-5
ARCTIC MX-5,,20.0,arctic-mx-5
ARCTIC MX-5 Incl. Spatula,,20.0,arctic-mx-5-incl-spatula
Iceberg Thermal FUZEIce,,3.5,iceberg-thermal-fuzeice
Deepcool DP-TIM-Z10-1,,5.0,deepcool-dp-tim-z10-1
Deepcool EX750,,5.0,deepcool-ex750
Thermalright TF8 EX,,1.5,thermalright-tf8-ex
Zalman STC7,,4.0,zalman-stc7
Deepcool DM9,,4.0,deepcool-dm9
Thermal Hero NEO,24.99,10.0,thermal-hero-neo
Thermal Hero ULTRA,16.48,2.0,thermal-hero-ultra
Antec Formula 6 Nano Diamond,,4.0,antec-formula-6-nano-diamond
Arctic Silver Arctic Alumina Premium Ceramic Polysynthetic,,1.75,arctic-silver-arctic-alumina-premium-ceramic-polysynthetic
Zalman ZM - STG1,,3.5,zalman-zm-stg1
Cooler Master IceFusion,,40.0,cooler-master-icefusion
Evercool TC-25,,25.0,evercool-tc-25
Cooler Master IceFusion,,200.0,cooler-master-icefusion
Xigmatek PTI-G4512,,4.0,xigmatek-pti-g4512
TUNIQ TX-2 Extreme,,1.0,tuniq-tx-2-extreme
Masscool G751 Shin-Etsu,,0.5,masscool-g751-shin-etsu
Masscool Fanner-420,,2.0,masscool-fanner-420
ARCTIC MX-2,,30.0,arctic-mx-2
Arctic Silver Arctic Alumina,,5.0,arctic-silver-arctic-alumina
Rosewill RCX-TC090PRO,,20.0,rosewill-rcx-tc090pro
Xigmatek PTI-G3606,,3.0,xigmatek-pti-g3606
Biostar TC-DIAMOND,,1.5,biostar-tc-diamond
Thermaltake CL-O0028,,4.0,thermaltake-cl-o0028
Xigmatek Freezing Point G4718,,4.0,xigmatek-freezing-point-g4718
Evercool STC-01,,4.0,evercool-stc-01
Syba CL-PTSL-COOL,9.32,1.5,syba-cl-ptsl-cool
Prolimatech PK-1,,1.5,prolimatech-pk-1
Sunbeam GI-1,,3.5,sunbeam-gi-1
Sunbeam Iceberg TS-IB,,1.0,sunbeam-iceberg-ts-ib
Thermene Graphene,,9.0,thermene-graphene
Deepcool Z9,,3.0,deepcool-z9
Evercool STC-02,,3.0,evercool-stc-02
Logisys Z5,,3.0,logisys-z5
Thermaltake CL-O001-GROSGM-A,11.98,1.5,thermaltake-cl-o001-grosgm-a
Thermaltake CLZ0022,,4.0,thermaltake-clz0022
Xigmatek Freezing Point G4718,,4.0,xigmatek-freezing-point-g4718
Cooler Master Extreme Fusion X1,,1.5,cooler-master-extreme-fusion-x1
Prolimatech PK-Zero,,1.5,prolimatech-pk-zero
Prolimatech PK-Zero,,30.0,prolimatech-pk-zero
CRYORIG CP15,,4.0,cryorig-cp15
CRYORIG CP5,,4.0,cryorig-cp5
CRYORIG CP7,,4.0,cryorig-cp7
Thermalright Chill Factor 3,,4.0,thermalright-chill-factor-3
Gelid Solutions GC-2,,7.0,gelid-solutions-gc-2
Cooler Master MasterGel Maker,,1.5,cooler-master-mastergel-maker
Cooler Master MasterGel Regular,,1.5,cooler-master-mastergel-regular
ARCTIC MX-5 Incl. Spatula,,4.0,arctic-mx-5-incl-spatula
ARCTIC MX-5 Incl. Spatula,,8.0,arctic-mx-5-incl-spatula
Iceberg Thermal FUZEIce,,7.0,iceberg-thermal-fuzeice
Iceberg Thermal FUZEIce Plus,,7.0,iceberg-thermal-fuzeice-plus
Gelid Solutions GC-4,,1.0,gelid-solutions-gc-4
Gelid Solutions GC-4,,10.0,gelid-solutions-gc-4
Gelid Solutions GC-Extreme,,3.5,gelid-solutions-gc-extreme
Gelid Solutions GC-Extreme,,10.0,gelid-solutions-gc-extreme
ARCTIC MX-2,,8.0,arctic-mx-2
Deepcool EX750,,3.0,deepcool-ex750
Enermax ETC521,,3.0,enermax-etc521
YEYIAN YCT-PHTC-01,,2.0,yeyian-yct-phtc-01
Thermalright TF8 EX,,2.9,thermalright-tf8-ex
Scythe Thermal Elixer 2,9.99,5.0,scythe-thermal-elixer-2
Xilence ZUB-XPTP,11.14,1.5,xilence-zub-xptp
Thermal Hero NEO,,2.0,thermal-hero-neo
Thermal Hero QUANTUM with paste gun,,50.0,thermal-hero-quantum-with-paste-gun
