name,price,modules,price_per_gb,color,first_word_latency,cas_latency,ddr_generation,frequency_mhz,slug
TEAMGROUP T-Force Delta RGB 16 GB,50.99,"2,8",3.187,White,10.0,18.0,DDR4,3600,teamgroup-t-force-delta-rgb-16-gb-ddr4-3600
Kingston FURY Beast 32 GB,115.81,"2,16",3.619,Black,10.0,16.0,DDR4,3200,kingston-fury-beast-32-gb-ddr4-3200
Kingston FURY Beast 64 GB,233.99,"2,32",3.656,Black,10.0,30.0,DDR5,6000,kingston-fury-beast-64-gb-ddr5-6000
G.Skill Trident Z5 RGB 48 GB,259.99,"2,24",5.416,Black,9.524,40.0,DDR5,8400,g-skill-trident-z5-rgb-48-gb-ddr5-8400
Patriot Viper Venom 64 GB,189.99,"2,32",2.969,Black / White,10.0,32.0,DDR5,6400,patriot-viper-venom-64-gb-ddr5-6400
G.Skill Trident Z5 RGB 32 GB,116.99,"2,16",3.656,Black,10.0,32.0,DDR5,6400,g-skill-trident-z5-rgb-32-gb-ddr5-6400
Corsair Vengeance 32 GB,114.99,"2,16",3.593,Black / Silver,10.0,30.0,DDR5,6000,corsair-vengeance-32-gb-ddr5-6000
Timetec PINNACLE Konduit 16 GB,31.99,"2,8",1.999,Black,10.0,16.0,DDR4,3200,timetec-pinnacle-konduit-16-gb-ddr4-3200
Corsair Dominator Titanium 32 GB,180.99,"2,16",5.656,White,10.0,30.0,DDR5,6000,corsair-dominator-titanium-32-gb-ddr5-6000
Patriot Viper Steel 32 GB,59.99,"2,16",1.875,Silver / Black,10.0,16.0,DDR4,3200,patriot-viper-steel-32-gb-ddr4-3200
G.Skill Flare X5 64 GB,234.99,"2,32",3.672,Black,9.333,28.0,DDR5,6000,g-skill-flare-x5-64-gb-ddr5-6000
Corsair Vengeance 16 GB,64.98,"2,8",4.061,Black,15.385,40.0,DDR5,5200,corsair-vengeance-16-gb-ddr5-5200
G.Skill Ripjaws S5 64 GB,154.99,"2,32",2.422,Black,12.0,36.0,DDR5,6000,g-skill-ripjaws-s5-64-gb-ddr5-6000
Crucial CP2K64G56C46U5 128 GB,299.99,"2,64",2.344,Black,16.429,46.0,DDR5,5600,crucial-cp2k64g56c46u5-128-gb-ddr5-5600
Timetec PINNACLE Konduit 32 GB,,"2,16",,White,10.0,18.0,DDR4,3600,timetec-pinnacle-konduit-32-gb-ddr4-3600
TEAMGROUP T-Create Expert 32 GB,87.99,"2,16",2.75,Black,12.667,38.0,DDR5,6000,teamgroup-t-create-expert-32-gb-ddr5-6000
Patriot Viper Venom 32 GB,87.99,"2,16",2.75,Black / White,10.0,32.0,DDR5,6400,patriot-viper-venom-32-gb-ddr5-6400
G.Skill Flare X5 32 GB,127.99,"2,16",4.0,Black,9.333,28.0,DDR5,6000,g-skill-flare-x5-32-gb-ddr5-6000
Crucial Pro 32 GB,81.99,"2,16",2.562,Black,11.875,38.0,DDR5,6400,crucial-pro-32-gb-ddr5-6400
Corsair Vengeance RGB 128 GB,551.99,"4,32",4.312,Black,14.286,40.0,DDR5,5600,corsair-vengeance-rgb-128-gb-ddr5-5600
