name,price,modules,price_per_gb,color,first_word_latency,cas_latency,ddr_generation,frequency_mhz,slug,capacity_gb,Benchmark
G.Skill Trident Z 64 GB,320.0,8,7.469,Silver / White,8.75,14.0,DDR4,3200.0,g-skill-trident-z-64-gb-ddr4-3200,64,116.0
G.Skill Trident Z 64 GB,320.0,8,7.469,Silver / White,8.75,14.0,DDR4,3200.0,g-skill-trident-z-64-gb-ddr4-3200,64,103.0
G.Skill Trident Z 16 GB,75.0,2,,Silver / White,10.0,16.0,DDR4,3200.0,g-skill-trident-z-16-gb-ddr4-3200,16,85.4
Corsair Vengeance RGB 16 GB,90.0,2,,White,10.0,15.0,DDR4,3000.0,corsair-vengeance-rgb-16-gb-ddr4-3000,16,82.5
Corsair Vengeance RGB 16 GB,90.0,2,,White,10.0,15.0,DDR4,3000.0,corsair-vengeance-rgb-16-gb-ddr4-3000,16,81.5
Corsair Vengeance RGB 32 GB,160.0,4,,White,10.0,15.0,DDR4,3000.0,corsair-vengeance-rgb-32-gb-ddr4-3000,32,87.0
Corsair Vengeance RGB 16 GB,90.0,2,,Black,10.667,16.0,DDR4,3000.0,corsair-vengeance-rgb-16-gb-ddr4-3000,16,82.5
Corsair Vengeance RGB 16 GB,90.0,2,,Black,10.667,16.0,DDR4,3000.0,corsair-vengeance-rgb-16-gb-ddr4-3000,16,81.5
Corsair Vengeance LED 16 GB,80.0,2,,Black,10.667,16.0,DDR4,3000.0,corsair-vengeance-led-16-gb-ddr4-3000,16,82.5
Corsair Vengeance LED 16 GB,80.0,2,,Black,10.667,16.0,DDR4,3000.0,corsair-vengeance-led-16-gb-ddr4-3000,16,82.5
Corsair Vengeance LED 16 GB,80.0,2,,Black,10.667,16.0,DDR4,3000.0,corsair-vengeance-led-16-gb-ddr4-3000,16,82.5
Corsair Vengeance RGB 32 GB,160.0,4,,Black,10.667,16.0,DDR4,3000.0,corsair-vengeance-rgb-32-gb-ddr4-3000,32,87.0
Corsair Vengeance LED 16 GB,85.0,2,,Black / Red,10.0,16.0,DDR4,3200.0,corsair-vengeance-led-16-gb-ddr4-3200,16,84.8
Corsair Vengeance LED 16 GB,85.0,2,,Black / Red,10.0,16.0,DDR4,3200.0,corsair-vengeance-led-16-gb-ddr4-3200,16,84.8
Corsair Vengeance LED 16 GB,85.0,2,,Black / Red,10.0,16.0,DDR4,3200.0,corsair-vengeance-led-16-gb-ddr4-3200,16,84.8
G.Skill Trident Z 64 GB,320.0,8,,Silver / White,9.375,15.0,DDR4,3200.0,g-skill-trident-z-64-gb-ddr4-3200,64,116.0
G.Skill Trident Z 64 GB,320.0,8,,Silver / White,9.375,15.0,DDR4,3200.0,g-skill-trident-z-64-gb-ddr4-3200,64,103.0
G.Skill Trident Z 64 GB,320.0,8,,Silver / Red,9.375,15.0,DDR4,3200.0,g-skill-trident-z-64-gb-ddr4-3200,64,116.0
G.Skill Trident Z 64 GB,320.0,8,,Silver / Red,9.375,15.0,DDR4,3200.0,g-skill-trident-z-64-gb-ddr4-3200,64,103.0
Crucial Ballistix Sport LT 32 GB,130.0,4,,Gray,13.333,16.0,DDR4,2400.0,crucial-ballistix-sport-lt-32-gb-ddr4-2400,32,79.5
Crucial Ballistix Sport LT 32 GB,130.0,4,,Gray,13.333,16.0,DDR4,2400.0,crucial-ballistix-sport-lt-32-gb-ddr4-2400,32,79.5
Crucial Ballistix Sport LT 32 GB,130.0,4,,Gray,13.333,16.0,DDR4,2400.0,crucial-ballistix-sport-lt-32-gb-ddr4-2400,32,79.5
Corsair Vengeance LED 16 GB,80.0,2,,Black / Red,10.667,16.0,DDR4,3000.0,corsair-vengeance-led-16-gb-ddr4-3000,16,82.5
Corsair Vengeance LED 16 GB,80.0,2,,Black / Red,10.667,16.0,DDR4,3000.0,corsair-vengeance-led-16-gb-ddr4-3000,16,82.5
Corsair Vengeance LED 16 GB,80.0,2,,Black / Red,10.667,16.0,DDR4,3000.0,corsair-vengeance-led-16-gb-ddr4-3000,16,82.5
Crucial Ballistix Sport LT 16 GB,65.0,2,,Camo,13.333,16.0,DDR4,2400.0,crucial-ballistix-sport-lt-16-gb-ddr4-2400,16,76.9
Crucial Ballistix Sport LT 16 GB,65.0,2,,Camo,13.333,16.0,DDR4,2400.0,crucial-ballistix-sport-lt-16-gb-ddr4-2400,16,76.9
Crucial Ballistix Sport LT 16 GB,65.0,2,,Camo,13.333,16.0,DDR4,2400.0,crucial-ballistix-sport-lt-16-gb-ddr4-2400,16,76.9
Crucial Ballistix Sport LT 32 GB,130.0,4,,Silver / Gray,13.333,16.0,DDR4,2400.0,crucial-ballistix-sport-lt-32-gb-ddr4-2400,32,79.5
Crucial Ballistix Sport LT 32 GB,130.0,4,,Silver / Gray,13.333,16.0,DDR4,2400.0,crucial-ballistix-sport-lt-32-gb-ddr4-2400,32,79.5
Crucial Ballistix Sport LT 32 GB,130.0,4,,Silver / Gray,13.333,16.0,DDR4,2400.0,crucial-ballistix-sport-lt-32-gb-ddr4-2400,32,79.5
Crucial Ballistix Sport LT 32 GB,130.0,4,,White / Camo,13.333,16.0,DDR4,2400.0,crucial-ballistix-sport-lt-32-gb-ddr4-2400,32,79.5
Crucial Ballistix Sport LT 32 GB,130.0,4,,White / Camo,13.333,16.0,DDR4,2400.0,crucial-ballistix-sport-lt-32-gb-ddr4-2400,32,79.5
Crucial Ballistix Sport LT 32 GB,130.0,4,,White / Camo,13.333,16.0,DDR4,2400.0,crucial-ballistix-sport-lt-32-gb-ddr4-2400,32,79.5
Crucial Ballistix Sport LT 16 GB,65.0,2,,Red / Black,13.333,16.0,DDR4,2400.0,crucial-ballistix-sport-lt-16-gb-ddr4-2400,16,76.9
Crucial Ballistix Sport LT 16 GB,65.0,2,,Red / Black,13.333,16.0,DDR4,2400.0,crucial-ballistix-sport-lt-16-gb-ddr4-2400,16,76.9
Crucial Ballistix Sport LT 16 GB,65.0,2,,Red / Black,13.333,16.0,DDR4,2400.0,crucial-ballistix-sport-lt-16-gb-ddr4-2400,16,76.9
G.Skill Trident Z 16 GB,75.0,2,,Silver / White,9.375,15.0,DDR4,3200.0,g-skill-trident-z-16-gb-ddr4-3200,16,85.4
Crucial Ballistix Sport LT 8 GB,38.0,1,,Black / Silver,12.003,16.0,DDR4,2666.0,crucial-ballistix-sport-lt-8-gb-ddr4-2666,8,46.7
Crucial Ballistix Sport LT 8 GB,38.0,1,,Black / Silver,12.003,16.0,DDR4,2666.0,crucial-ballistix-sport-lt-8-gb-ddr4-2666,8,46.7
Crucial Ballistix Sport LT 8 GB,38.0,1,,Black / Silver,12.003,16.0,DDR4,2666.0,crucial-ballistix-sport-lt-8-gb-ddr4-2666,8,46.7
G.Skill Trident Z 16 GB,110.0,2,,Silver / White,9.444,17.0,DDR4,3600.0,g-skill-trident-z-16-gb-ddr4-3600,16,97.8
G.Skill Trident Z 16 GB,110.0,2,,Silver / White,9.444,17.0,DDR4,3600.0,g-skill-trident-z-16-gb-ddr4-3600,16,96.2
Crucial Ballistix Sport LT 32 GB,130.0,4,,Red / Black,13.333,16.0,DDR4,2400.0,crucial-ballistix-sport-lt-32-gb-ddr4-2400,32,79.5
Crucial Ballistix Sport LT 32 GB,130.0,4,,Red / Black,13.333,16.0,DDR4,2400.0,crucial-ballistix-sport-lt-32-gb-ddr4-2400,32,79.5
Crucial Ballistix Sport LT 32 GB,130.0,4,,Red / Black,13.333,16.0,DDR4,2400.0,crucial-ballistix-sport-lt-32-gb-ddr4-2400,32,79.5
G.Skill Ripjaws 4 16 GB,48.0,2,,Red,10.667,16.0,DDR4,3000.0,g-skill-ripjaws-4-16-gb-ddr4-3000,16,92.1
G.Skill Ripjaws 4 16 GB,48.0,2,,Red,10.667,16.0,DDR4,3000.0,g-skill-ripjaws-4-16-gb-ddr4-3000,16,92.1
G.Skill Ripjaws 4 16 GB,48.0,2,,Red,10.667,16.0,DDR4,3000.0,g-skill-ripjaws-4-16-gb-ddr4-3000,16,92.1
