name,price,socket,form_factor,max_memory,memory_slots,color,slug
MSI PRO B850-P WIFI,199.99,AM5,ATX,256,4,Silver / Black,pro-b850-p-wifi
Gigabyte B760M DS3H AX,129.99,LGA1700,Micro ATX,192,4,Black,b760m-ds3h-ax
ASRock B850 Riptide WiFi,199.99,AM5,ATX,256,4,Black,b850-riptide-wifi
MSI B840 GAMING PLUS WIFI,149.99,AM5,ATX,256,4,Silver / Black,b840-gaming-plus-wifi
ASRock B650M Pro RS,220.07,AM5,Micro ATX,256,4,Black / Silver,b650m-pro-rs
Asus TUF GAMING A520M-PLUS WIFI,110.46,AM4,Micro ATX,128,4,Black / Orange,tuf-gaming-a520m-plus-wifi
ASRock B760M PG Riptide Wifi,119.99,LGA1700,Micro ATX,192,4,Black,b760m-pg-riptide-wifi
ASRock B650 Steel Legend WiFi,280.35,AM5,ATX,256,4,White / Silver,b650-steel-legend-wifi
Gigabyte B650 AORUS ELITE AX ICE,199.74,AM5,ATX,192,4,Silver,b650-aorus-elite-ax-ice
MSI X670E GAMING PLUS WIFI,189.99,AM5,ATX,192,4,Silver / Black,x670e-gaming-plus-wifi
Gigabyte B650 AORUS ELITE AX V2,199.99,AM5,ATX,192,4,Black / Silver,b650-aorus-elite-ax-v2
Asus ROG STRIX X870-I GAMING WIFI,448.99,AM5,Mini ITX,128,2,Black,rog-strix-x870-i-gaming-wifi
Asus ROG STRIX Z790-A GAMING WIFI II,590.0,LGA1700,ATX,192,4,Black / Silver,rog-strix-z790-a-gaming-wifi-ii
MSI PRO Z790-P WIFI,179.99,LGA1700,ATX,192,4,Black / Silver,pro-z790-p-wifi
ASRock B760 Pro RS/D4,154.05,LGA1700,ATX,128,4,Silver / Black,b760-pro-rs-d4
ASRock B850M Steel Legend WiFi,179.99,AM5,Micro ATX,256,4,Silver / Black,b850m-steel-legend-wifi
Asus TUF GAMING B650M-PLUS WIFI,259.0,AM5,Micro ATX,192,4,Black,tuf-gaming-b650m-plus-wifi
MSI B760M GAMING PLUS WIFI,252.19,LGA1700,Micro ATX,192,4,Black / Silver,b760m-gaming-plus-wifi
Gigabyte B550M DS3H AC,99.99,AM4,Micro ATX,128,4,Black,b550m-ds3h-ac
Gigabyte B650M GAMING WIFI6E,177.17,AM5,Micro ATX,128,2,Silver / Black,b650m-gaming-wifi6e
MSI PRO B760-P WIFI DDR4,159.95,LGA1700,ATX,128,4,Black,pro-b760-p-wifi-ddr4
Gigabyte B650 EAGLE,212.19,AM5,ATX,192,4,Black / Gray,b650-eagle
MSI X870 GAMING PLUS WIFI,249.99,AM5,ATX,256,4,Black / White,x870-gaming-plus-wifi
Asus TUF GAMING B760-PLUS WIFI,159.99,LGA1700,ATX,192,4,Black,tuf-gaming-b760-plus-wifi
ASRock Z790 PRO RS WIFI,229.68,LGA1700,ATX,192,4,Silver / Black,z790-pro-rs-wifi
Gigabyte A520M S2H,72.98,AM4,Micro ATX,64,2,Black,a520m-s2h
Asus Prime B450M-A II,140.0,AM4,Micro ATX,128,4,,prime-b450m-a-ii
Gigabyte B850I AORUS PRO,259.99,AM5,Mini ITX,128,2,,b850i-aorus-pro
Gigabyte A520M DS3H V2,101.9,AM4,Micro ATX,128,4,Gray / Brown,a520m-ds3h-v2
MSI B550 GAMING GEN3,124.58,AM4,ATX,128,4,Black,b550-gaming-gen3
MSI MAG B850M MORTAR WIFI,239.99,AM5,Micro ATX,256,4,Black / Green,mag-b850m-mortar-wifi
Gigabyte B550 AORUS ELITE AX V2,149.99,AM4,ATX,128,4,Black / Silver,b550-aorus-elite-ax-v2
ASRock B850 Steel Legend WiFi,209.99,AM5,ATX,256,4,White / Black,b850-steel-legend-wifi
